 schemaname |        tablename        |                indexname                | tablespace |                                                             indexdef                                                             
 pg_catalog | pg_language             | pg_language_oid_index                   |            | CREATE UNIQUE INDEX pg_language_oid_index ON pg_language USING btree (oid)
 pg_catalog | pg_largeobject          | pg_largeobject_loid_pn_index            |            | CREATE UNIQUE INDEX pg_largeobject_loid_pn_index ON pg_largeobject USING btree (loid, pageno)
 pg_catalog | pg_largeobject_metadata | pg_largeobject_metadata_oid_index       |            | CREATE UNIQUE INDEX pg_largeobject_metadata_oid_index ON pg_largeobject_metadata USING btree (oid)
 pg_catalog | pg_namespace            | pg_namespace_nspname_index              |            | CREATE UNIQUE INDEX pg_namespace_nspname_index ON pg_namespace USING btree (nspname)
 pg_catalog | pg_namespace            | pg_namespace_oid_index                  |            | CREATE UNIQUE INDEX pg_namespace_oid_index ON pg_namespace USING btree (oid)
 pg_catalog | pg_opclass              | pg_opclass_am_name_nsp_index            |            | CREATE UNIQUE INDEX pg_opclass_am_name_nsp_index ON pg_opclass USING btree (opcmethod, opcname, opcnamespace)
 pg_catalog | pg_opclass              | pg_opclass_oid_index                    |            | CREATE UNIQUE INDEX pg_opclass_oid_index ON pg_opclass USING btree (oid)
 pg_catalog | pg_operator             | pg_operator_oid_index                   |            | CREATE UNIQUE INDEX pg_operator_oid_index ON pg_operator USING btree (oid)
 pg_catalog | pg_operator             | pg_operator_oprname_l_r_n_index         |            | CREATE UNIQUE INDEX pg_operator_oprname_l_r_n_index ON pg_operator USING btree (oprname, oprleft, oprright, oprnamespace)
 pg_catalog | pg_opfamily             | pg_opfamily_am_name_nsp_index           |            | CREATE UNIQUE INDEX pg_opfamily_am_name_nsp_index ON pg_opfamily USING btree (opfmethod, opfname, opfnamespace)
 pg_catalog | pg_opfamily             | pg_opfamily_oid_index                   |            | CREATE UNIQUE INDEX pg_opfamily_oid_index ON pg_opfamily USING btree (oid)
 pg_catalog | pg_pltemplate           | pg_pltemplate_name_index                | pg_global  | CREATE UNIQUE INDEX pg_pltemplate_name_index ON pg_pltemplate USING btree (tmplname)
 pg_catalog | pg_proc                 | pg_proc_oid_index                       |            | CREATE UNIQUE INDEX pg_proc_oid_index ON pg_proc USING btree (oid)
 pg_catalog | pg_proc                 | pg_proc_proname_args_nsp_index          |            | CREATE UNIQUE INDEX pg_proc_proname_args_nsp_index ON pg_proc USING btree (proname, proargtypes, pronamespace)
 pg_catalog | pg_rewrite              | pg_rewrite_oid_index                    |            | CREATE UNIQUE INDEX pg_rewrite_oid_index ON pg_rewrite USING btree (oid)
 pg_catalog | pg_rewrite              | pg_rewrite_rel_rulename_index           |            | CREATE UNIQUE INDEX pg_rewrite_rel_rulename_index ON pg_rewrite USING btree (ev_class, rulename)
 pg_catalog | pg_shdepend             | pg_shdepend_depender_index              | pg_global  | CREATE INDEX pg_shdepend_depender_index ON pg_shdepend USING btree (dbid, classid, objid, objsubid)
 pg_catalog | pg_shdepend             | pg_shdepend_reference_index             | pg_global  | CREATE INDEX pg_shdepend_reference_index ON pg_shdepend USING btree (refclassid, refobjid)
 pg_catalog | pg_statistic            | pg_statistic_relid_att_inh_index        |            | CREATE UNIQUE INDEX pg_statistic_relid_att_inh_index ON pg_statistic USING btree (starelid, staattnum, stainherit)
 pg_catalog | pg_tablespace           | pg_tablespace_oid_index                 | pg_global  | CREATE UNIQUE INDEX pg_tablespace_oid_index ON pg_tablespace USING btree (oid)
 pg_catalog | pg_tablespace           | pg_tablespace_spcname_index             | pg_global  | CREATE UNIQUE INDEX pg_tablespace_spcname_index ON pg_tablespace USING btree (spcname)
 pg_catalog | pg_transform            | pg_transform_oid_index                  |            | CREATE UNIQUE INDEX pg_transform_oid_index ON pg_transform USING btree (oid)
 pg_catalog | pg_transform            | pg_transform_type_lang_index            |            | CREATE UNIQUE INDEX pg_transform_type_lang_index ON pg_transform USING btree (trftype, trflang)
 pg_catalog | pg_trigger              | pg_trigger_tgconstraint_index           |            | CREATE INDEX pg_trigger_tgconstraint_index ON pg_trigger USING btree (tgconstraint)
 pg_catalog | pg_trigger              | pg_trigger_tgrelid_tgname_index         |            | CREATE UNIQUE INDEX pg_trigger_tgrelid_tgname_index ON pg_trigger USING btree (tgrelid, tgname)
 pg_catalog | pg_trigger              | pg_trigger_oid_index                    |            | CREATE UNIQUE INDEX pg_trigger_oid_index ON pg_trigger USING btree (oid)
 pg_catalog | pg_event_trigger        | pg_event_trigger_evtname_index          |            | CREATE UNIQUE INDEX pg_event_trigger_evtname_index ON pg_event_trigger USING btree (evtname)
 pg_catalog | pg_event_trigger        | pg_event_trigger_oid_index              |            | CREATE UNIQUE INDEX pg_event_trigger_oid_index ON pg_event_trigger USING btree (oid)
 pg_catalog | pg_ts_config            | pg_ts_config_cfgname_index              |            | CREATE UNIQUE INDEX pg_ts_config_cfgname_index ON pg_ts_config USING btree (cfgname, cfgnamespace)
 pg_catalog | pg_ts_config            | pg_ts_config_oid_index                  |            | CREATE UNIQUE INDEX pg_ts_config_oid_index ON pg_ts_config USING btree (oid)
 pg_catalog | pg_ts_config_map        | pg_ts_config_map_index                  |            | CREATE UNIQUE INDEX pg_ts_config_map_index ON pg_ts_config_map USING btree (mapcfg, maptokentype, mapseqno)
 pg_catalog | pg_ts_dict              | pg_ts_dict_dictname_index               |            | CREATE UNIQUE INDEX pg_ts_dict_dictname_index ON pg_ts_dict USING btree (dictname, dictnamespace)
 pg_catalog | pg_ts_dict              | pg_ts_dict_oid_index                    |            | CREATE UNIQUE INDEX pg_ts_dict_oid_index ON pg_ts_dict USING btree (oid)
 pg_catalog | pg_ts_parser            | pg_ts_parser_prsname_index              |            | CREATE UNIQUE INDEX pg_ts_parser_prsname_index ON pg_ts_parser USING btree (prsname, prsnamespace)
 pg_catalog | pg_ts_parser            | pg_ts_parser_oid_index                  |            | CREATE UNIQUE INDEX pg_ts_parser_oid_index ON pg_ts_parser USING btree (oid)
 pg_catalog | pg_ts_template          | pg_ts_template_tmplname_index           |            | CREATE UNIQUE INDEX pg_ts_template_tmplname_index ON pg_ts_template USING btree (tmplname, tmplnamespace)
 pg_catalog | pg_ts_template          | pg_ts_template_oid_index                |            | CREATE UNIQUE INDEX pg_ts_template_oid_index ON pg_ts_template USING btree (oid)
 pg_catalog | pg_type                 | pg_type_oid_index                       |            | CREATE UNIQUE INDEX pg_type_oid_index ON pg_type USING btree (oid)
 pg_catalog | pg_type                 | pg_type_typname_nsp_index               |            | CREATE UNIQUE INDEX pg_type_typname_nsp_index ON pg_type USING btree (typname, typnamespace)
 pg_catalog | pg_foreign_data_wrapper | pg_foreign_data_wrapper_oid_index       |            | CREATE UNIQUE INDEX pg_foreign_data_wrapper_oid_index ON pg_foreign_data_wrapper USING btree (oid)
 pg_catalog | pg_foreign_data_wrapper | pg_foreign_data_wrapper_name_index      |            | CREATE UNIQUE INDEX pg_foreign_data_wrapper_name_index ON pg_foreign_data_wrapper USING btree (fdwname)
 pg_catalog | pg_foreign_server       | pg_foreign_server_oid_index             |            | CREATE UNIQUE INDEX pg_foreign_server_oid_index ON pg_foreign_server USING btree (oid)
 pg_catalog | pg_foreign_server       | pg_foreign_server_name_index            |            | CREATE UNIQUE INDEX pg_foreign_server_name_index ON pg_foreign_server USING btree (srvname)
 pg_catalog | pg_user_mapping         | pg_user_mapping_oid_index               |            | CREATE UNIQUE INDEX pg_user_mapping_oid_index ON pg_user_mapping USING btree (oid)
 pg_catalog | pg_user_mapping         | pg_user_mapping_user_server_index       |            | CREATE UNIQUE INDEX pg_user_mapping_user_server_index ON pg_user_mapping USING btree (umuser, umserver)
 pg_catalog | pg_foreign_table        | pg_foreign_table_relid_index            |            | CREATE UNIQUE INDEX pg_foreign_table_relid_index ON pg_foreign_table USING btree (ftrelid)
 pg_catalog | pg_default_acl          | pg_default_acl_role_nsp_obj_index       |            | CREATE UNIQUE INDEX pg_default_acl_role_nsp_obj_index ON pg_default_acl USING btree (defaclrole, defaclnamespace, defaclobjtype)
 pg_catalog | pg_default_acl          | pg_default_acl_oid_index                |            | CREATE UNIQUE INDEX pg_default_acl_oid_index ON pg_default_acl USING btree (oid)
 pg_catalog | pg_db_role_setting      | pg_db_role_setting_databaseid_rol_index | pg_global  | CREATE UNIQUE INDEX pg_db_role_setting_databaseid_rol_index ON pg_db_role_setting USING btree (setdatabase, setrole)
 pg_catalog | pg_seclabel             | pg_seclabel_object_index                |            | CREATE UNIQUE INDEX pg_seclabel_object_index ON pg_seclabel USING btree (objoid, classoid, objsubid, provider text_pattern_ops)
 pg_catalog | pg_shseclabel           | pg_shseclabel_object_index              | pg_global  | CREATE UNIQUE INDEX pg_shseclabel_object_index ON pg_shseclabel USING btree (objoid, classoid, provider text_pattern_ops)
 pg_catalog | pg_extension            | pg_extension_oid_index                  |            | CREATE UNIQUE INDEX pg_extension_oid_index ON pg_extension USING btree (oid)
 pg_catalog | pg_extension            | pg_extension_name_index                 |            | CREATE UNIQUE INDEX pg_extension_name_index ON pg_extension USING btree (extname)
 pg_catalog | pg_range                | pg_range_rngtypid_index                 |            | CREATE UNIQUE INDEX pg_range_rngtypid_index ON pg_range USING btree (rngtypid)
 pg_catalog | pipeline_query          | pipeline_query_relid_index              |            | CREATE UNIQUE INDEX pipeline_query_relid_index ON pipeline_query USING btree (relid)
 pg_catalog | pipeline_query          | pipeline_query_id_index                 |            | CREATE UNIQUE INDEX pipeline_query_id_index ON pipeline_query USING btree (id)
 pg_catalog | pipeline_query          | pipeline_query_oid_index                |            | CREATE UNIQUE INDEX pipeline_query_oid_index ON pipeline_query USING btree (oid)
 pg_catalog | pipeline_query          | pipeline_query_matrelid_index           |            | CREATE UNIQUE INDEX pipeline_query_matrelid_index ON pipeline_query USING btree (matrelid)
 pg_catalog | pipeline_combine        | pipeline_combine_transfn_index          |            | CREATE UNIQUE INDEX pipeline_combine_transfn_index ON pipeline_combine USING btree (aggfinalfn, transfn)
 pg_catalog | pipeline_stream         | pipeline_stream_relid_index             |            | CREATE UNIQUE INDEX pipeline_stream_relid_index ON pipeline_stream USING btree (relid)
 pg_catalog | pipeline_stream         | pipeline_stream_oid_index               |            | CREATE UNIQUE INDEX pipeline_stream_oid_index ON pipeline_stream USING btree (oid)
 pg_catalog | pipeline_combine        | pipeline_combine_oid_index              |            | CREATE UNIQUE INDEX pipeline_combine_oid_index ON pipeline_combine USING btree (oid)
 pg_catalog | pg_policy               | pg_policy_oid_index                     |            | CREATE UNIQUE INDEX pg_policy_oid_index ON pg_policy USING btree (oid)
 pg_catalog | pg_policy               | pg_policy_polrelid_polname_index        |            | CREATE UNIQUE INDEX pg_policy_polrelid_polname_index ON pg_policy USING btree (polrelid, polname)
 pg_catalog | pg_replication_origin   | pg_replication_origin_roiident_index    | pg_global  | CREATE UNIQUE INDEX pg_replication_origin_roiident_index ON pg_replication_origin USING btree (roident)
 pg_catalog | pg_replication_origin   | pg_replication_origin_roname_index      | pg_global  | CREATE UNIQUE INDEX pg_replication_origin_roname_index ON pg_replication_origin USING btree (roname text_pattern_ops)
 public     | employees               | employees_pkey                          |            | CREATE UNIQUE INDEX employees_pkey ON employees USING btree (id)
 public     | editions                | pkey                                    |            | CREATE UNIQUE INDEX pkey ON editions USING btree (isbn)
 public     | subjects                | subjects_pkey                           |            | CREATE UNIQUE INDEX subjects_pkey ON subjects USING btree (id)
 public     | schedules               | schedules_pkey                          |            | CREATE UNIQUE INDEX schedules_pkey ON schedules USING btree (employee_id)
 public     | publishers              | unique_publisher_idx                    |            | CREATE UNIQUE INDEX unique_publisher_idx ON publishers USING btree (name)
 public     | shipments               | shipments_ship_id_key                   |            | CREATE UNIQUE INDEX shipments_ship_id_key ON shipments USING btree (id)
 public     | books                   | books_title_idx                         |            | CREATE INDEX books_title_idx ON books USING btree (title)
 public     | text_sorting            | text_idx                                |            | CREATE INDEX text_idx ON text_sorting USING btree (letter)
(124 rows)

